pair,pattern,n,wins,losses,no_hit,win_rate,win_rate_wilson_lo,win_rate_wilson_hi,avg_r,median_r,expectancy_r,expectancy_r_boot_ci_lo,expectancy_r_boot_ci_hi,profit_factor,max_drawdown_r,max_losing_streak,n_ge_30,n_ge_100,n_ge_300,low_sample_warning,research_rank_score
EURUSD,Dark Cloud Cover,58,26,32,0,0.4483,0.3275,0.5755,-0.1034,-1.0,-0.1034,-0.3448,0.1379,0.8125,-13.0,5,True,False,False,False,-0.4216173716998514
EURUSD,Bullish Engulfing,162,74,88,0,0.4568,0.382,0.5336,-0.0864,-1.0,-0.0864,-0.2469,0.0741,0.8409,-18.0,8,True,True,False,False,-0.4401000173497043
EURUSD,Inverted Hammer,52,23,29,0,0.4423,0.3159,0.5766,-0.1154,-1.0,-0.1154,-0.3846,0.1538,0.7931,-12.0,5,True,False,False,False,-0.4581716868239149
XAUUSD,Tweezer Bottom,111,50,61,0,0.4505,0.3611,0.5431,-0.0991,-1.0,-0.0991,-0.2797,0.0811,0.8197,-16.0,8,True,True,False,False,-0.4676032381453438
XAUUSD,Bullish Kicker,319,146,173,0,0.4577,0.4038,0.5125,-0.0846,-1.0,-0.0846,-0.1912,0.0219,0.8439,-42.0,7,True,True,True,False,-0.4879999562441531
AUDUSD,Shooting Star,58,25,33,0,0.431,0.3118,0.5588,-0.1379,-1.0,-0.1379,-0.3793,0.1379,0.7576,-15.0,9,True,False,False,False,-0.5622924135145987
USDJPY,Morning Star,47,20,27,0,0.4255,0.2951,0.5672,-0.1489,-1.0,-0.1489,-0.4043,0.1489,0.7407,-11.0,7,True,False,False,False,-0.576421830524185
XAUUSD,Bearish Counterattack,65,28,37,0,0.4308,0.3176,0.5517,-0.1385,-1.0,-0.1385,-0.3846,0.1077,0.7568,-14.0,8,True,False,False,False,-0.58026718177066
GBPUSD,Morning Star,45,19,26,0,0.4222,0.2897,0.567,-0.1556,-1.0,-0.1556,-0.4222,0.1556,0.7308,-11.0,6,True,False,False,False,-0.5957366012937031
GBPUSD,Bearish Counterattack,61,26,35,0,0.4262,0.3102,0.551,-0.1475,-1.0,-0.1475,-0.3779,0.1148,0.7429,-12.0,6,True,False,False,False,-0.608752321794151
AUDUSD,Inverted Hammer,70,30,40,0,0.4286,0.3194,0.5452,-0.1429,-1.0,-0.1429,-0.3714,0.0857,0.75,-11.0,5,True,False,False,False,-0.609136954429204
XAUUSD,Bearish Engulfing,146,64,82,0,0.4384,0.3605,0.5194,-0.1233,-1.0,-0.1233,-0.2877,0.0411,0.7805,-23.0,8,True,True,False,False,-0.6153203379498182
USDJPY,Three Black Crows,211,93,118,0,0.4408,0.3754,0.5082,-0.1185,-1.0,-0.1185,-0.2512,0.0237,0.7881,-29.0,9,True,True,False,False,-0.6347554735486334
XAUUSD,Bullish Counterattack,78,33,45,0,0.4231,0.3196,0.5338,-0.1538,-1.0,-0.1538,-0.359,0.0513,0.7333,-18.0,7,True,False,False,False,-0.6720210797094279
USDJPY,Hanging Man,61,24,37,0,0.3934,0.2807,0.5188,-0.2131,-1.0,-0.2131,-0.4426,0.0164,0.6486,-14.0,11,True,False,False,False,-0.8794923374531091
AUDUSD,Hammer,47,17,30,0,0.3617,0.2397,0.5046,-0.2766,-1.0,-0.2766,-0.5319,0.0213,0.5667,-13.0,6,True,False,False,False,-1.0707741996171227
GBPUSD,Evening Star,53,19,34,0,0.3585,0.243,0.4931,-0.283,-1.0,-0.283,-0.5472,-0.0179,0.5588,-14.0,6,True,False,False,False,-1.1288824851776895
EURUSD,Piercing Line,59,21,38,0,0.3559,0.246,0.4834,-0.2881,-1.0,-0.2881,-0.5254,-0.0508,0.5526,-17.0,8,True,False,False,False,-1.1795806683761871
GBPUSD,Evening Doji Star,93,33,60,0,0.3548,0.2651,0.4561,-0.2903,-1.0,-0.2903,-0.4839,-0.0968,0.55,-27.0,11,True,False,False,False,-1.3189184752929821
EURUSD,Three White Soldiers,184,92,91,1,0.5,0.4285,0.5715,,,,,,1.011,,8,True,True,False,False,
EURUSD,Bullish Separating Lines,25,12,13,0,0.48,0.3003,0.665,-0.04,-1.0,-0.04,-0.44,0.36,0.9231,-4.0,3,False,False,False,True,
EURUSD,Bearish Separating Lines,23,10,13,0,0.4348,0.2563,0.6319,-0.1304,-1.0,-0.1304,-0.5652,0.3043,0.7692,-5.0,4,False,False,False,True,
EURUSD,Three Outside Down,19,10,9,0,0.5263,0.3171,0.7267,0.0526,1.0,0.0526,-0.3684,0.4737,1.1111,-4.0,3,False,False,False,True,
EURUSD,Three Inside Down,6,1,5,0,0.1667,0.0301,0.5635,-0.6667,-1.0,-0.6667,,,0.2,-4.0,5,False,False,False,True,
EURUSD,Three Outside Up,17,9,8,0,0.5294,0.3096,0.7384,0.0588,1.0,0.0588,-0.4118,0.5294,1.125,-4.0,4,False,False,False,True,
EURUSD,Three Inside Up,12,7,5,0,0.5833,0.3195,0.8067,0.1667,1.0,0.1667,-0.3333,0.6667,1.4,-1.0,1,False,False,False,True,
EURUSD,Bearish Harami,7,3,4,0,0.4286,0.1582,0.7495,-0.1429,-1.0,-0.1429,,,0.75,-3.0,3,False,False,False,True,
EURUSD,Upside Gap Two Crows,12,7,5,0,0.5833,0.3195,0.8067,0.1667,1.0,0.1667,-0.3333,0.6667,1.4,-2.0,2,False,False,False,True,
EURUSD,Bullish Harami,6,2,4,0,0.3333,0.0968,0.7,-0.3333,-1.0,-0.3333,,,0.5,-2.0,3,False,False,False,True,
GBPUSD,Bearish Separating Lines,24,14,10,0,0.5833,0.3883,0.7553,0.1667,1.0,0.1667,-0.25,0.5021,1.4,-2.0,2,False,False,False,True,
GBPUSD,Three White Soldiers,198,107,90,1,0.5404,0.4709,0.6084,,,,,,1.1889,,6,True,True,False,False,
GBPUSD,Three Inside Up,6,2,4,0,0.3333,0.0968,0.7,-0.3333,-1.0,-0.3333,,,0.5,-3.0,3,False,False,False,True,
GBPUSD,Three Outside Up,24,14,10,0,0.5833,0.3883,0.7553,0.1667,1.0,0.1667,-0.25,0.5,1.4,-4.0,4,False,False,False,True,
GBPUSD,Upside Gap Two Crows,7,1,6,0,0.1429,0.0257,0.5131,-0.7143,-1.0,-0.7143,,,0.1667,-5.0,5,False,False,False,True,
GBPUSD,Bearish Harami,6,3,3,0,0.5,0.1876,0.8124,-0.0,-0.0,-0.0,,,1.0,-3.0,3,False,False,False,True,
GBPUSD,Three Outside Down,14,8,6,0,0.5714,0.3259,0.7862,0.1429,1.0,0.1429,-0.4286,0.7143,1.3333,-2.0,2,False,False,False,True,
GBPUSD,Bullish Harami,5,2,3,0,0.4,0.1176,0.7693,-0.2,-1.0,-0.2,,,0.6667,-2.0,2,False,False,False,True,
GBPUSD,Three Inside Down,9,6,3,0,0.6667,0.3542,0.8794,0.3333,1.0,0.3333,,,2.0,-2.0,2,False,False,False,True,
USDJPY,Bullish Kicker,312,156,154,2,0.5,0.4449,0.5551,,,,,,1.013,,7,True,True,True,False,
USDJPY,Three Outside Up,11,5,6,0,0.4545,0.2127,0.7199,-0.0909,-1.0,-0.0909,-0.6364,0.4545,0.8333,-5.0,5,False,False,False,True,
USDJPY,Evening Star,63,30,32,1,0.4762,0.3578,0.5973,,,,,,0.9375,,10,True,False,False,False,
USDJPY,Bullish Counterattack,81,35,45,1,0.4321,0.3297,0.5406,,,,,,0.7778,,9,True,False,False,False,
USDJPY,Bearish Counterattack,75,42,32,1,0.56,0.4475,0.6667,,,,,,1.3125,,6,True,False,False,False,
USDJPY,Upside Gap Two Crows,10,6,4,0,0.6,0.3127,0.8318,0.2,1.0,0.2,-0.4,0.8,1.5,-3.0,3,False,False,False,True,
USDJPY,Three Inside Up,15,8,7,0,0.5333,0.3012,0.7519,0.0667,1.0,0.0667,-0.4667,0.6,1.1429,-3.0,3,False,False,False,True,
USDJPY,Three Outside Down,14,8,6,0,0.5714,0.3259,0.7862,0.1429,1.0,0.1429,-0.4286,0.7143,1.3333,-3.0,2,False,False,False,True,
USDJPY,Three Inside Down,7,3,4,0,0.4286,0.1582,0.7495,-0.1429,-1.0,-0.1429,,,0.75,-2.0,2,False,False,False,True,
USDJPY,Bearish Separating Lines,21,9,12,0,0.4286,0.2447,0.6345,-0.1429,-1.0,-0.1429,-0.5238,0.2381,0.75,-7.0,5,False,False,False,True,
USDJPY,Bullish Harami,10,7,3,0,0.7,0.3968,0.8922,0.4,1.0,0.4,-0.2,1.0,2.3333,-2.0,2,False,False,False,True,
USDJPY,Bearish Harami,6,3,3,0,0.5,0.1876,0.8124,0.0,-0.0,0.0,,,1.0,-2.0,2,False,False,False,True,
XAUUSD,Bearish Kicker,279,130,148,1,0.4659,0.4083,0.5246,,,,,,0.8784,,6,True,True,False,False,
XAUUSD,Three Inside Down,9,6,3,0,0.6667,0.3542,0.8794,0.3333,1.0,0.3333,,,2.0,-2.0,2,False,False,False,True,
XAUUSD,Hammer,63,31,31,1,0.4921,0.3727,0.6124,,,,,,1.0,,6,True,False,False,False,
XAUUSD,Bearish Separating Lines,18,10,8,0,0.5556,0.3372,0.7544,0.1111,1.0,0.1111,-0.3333,0.5556,1.25,-3.0,2,False,False,False,True,
XAUUSD,Bearish Harami,5,3,2,0,0.6,0.2307,0.8824,0.2,1.0,0.2,,,1.5,-1.0,1,False,False,False,True,
XAUUSD,Three Outside Up,24,16,8,0,0.6667,0.4671,0.8203,0.3333,1.0,0.3333,-0.0833,0.6667,2.0,-2.0,3,False,False,False,True,
XAUUSD,Three Inside Up,9,5,4,0,0.5556,0.2666,0.8112,0.1111,1.0,0.1111,,,1.25,-2.0,2,False,False,False,True,
XAUUSD,Three Outside Down,12,6,6,0,0.5,0.2538,0.7462,0.0,-0.0,0.0,-0.5,0.5,1.0,-3.0,3,False,False,False,True,
XAUUSD,Upside Gap Two Crows,5,2,3,0,0.4,0.1176,0.7693,-0.2,-1.0,-0.2,,,0.6667,-1.0,2,False,False,False,True,
XAUUSD,Bullish Separating Lines,27,15,12,0,0.5556,0.3731,0.7241,0.1111,1.0,0.1111,-0.2593,0.4815,1.25,-2.0,2,False,False,False,True,
XAUUSD,Bullish Harami,6,2,4,0,0.3333,0.0968,0.7,-0.3333,-1.0,-0.3333,,,0.5,-2.0,2,False,False,False,True,
AUDUSD,Bearish Separating Lines,28,18,10,0,0.6429,0.4583,0.7929,0.2857,1.0,0.2857,-0.0714,0.6429,1.8,-3.0,3,False,False,False,True,
AUDUSD,Bullish Separating Lines,23,17,6,0,0.7391,0.5353,0.8745,0.4783,1.0,0.4783,0.1304,0.8261,2.8333,-1.0,1,False,False,False,True,
AUDUSD,Three Outside Down,16,7,9,0,0.4375,0.231,0.6682,-0.125,-1.0,-0.125,-0.625,0.375,0.7778,-4.0,3,False,False,False,True,
AUDUSD,Three White Soldiers,182,93,87,2,0.511,0.4389,0.5826,,,,,,1.069,,7,True,True,False,False,
AUDUSD,Bearish Kicker,311,142,168,1,0.4566,0.4021,0.5121,,,,,,0.8452,,10,True,True,True,False,
AUDUSD,Three Black Crows,175,79,95,1,0.4514,0.3795,0.5254,,,,,,0.8316,,7,True,True,False,False,
AUDUSD,Bullish Kicker,310,173,135,2,0.5581,0.5024,0.6123,,,,,,1.2815,,6,True,True,True,False,
AUDUSD,Upside Gap Two Crows,8,3,5,0,0.375,0.1368,0.6943,-0.25,-1.0,-0.25,,,0.6,-4.0,4,False,False,False,True,
AUDUSD,Three Outside Up,19,11,8,0,0.5789,0.3628,0.7686,0.1579,1.0,0.1579,-0.2632,0.5789,1.375,-3.0,3,False,False,False,True,
AUDUSD,Bearish Harami,10,9,1,0,0.9,0.5958,0.9821,0.8,1.0,0.8,0.4,1.0,9.0,-1.0,1,False,False,False,True,
AUDUSD,Three Inside Up,11,7,4,0,0.6364,0.3538,0.8483,0.2727,1.0,0.2727,-0.2727,0.8182,1.75,-2.0,2,False,False,False,True,
AUDUSD,Three Inside Down,11,8,3,0,0.7273,0.4343,0.9025,0.4545,1.0,0.4545,-0.0909,0.8182,2.6667,-1.0,2,False,False,False,True,
AUDUSD,Bullish Harami,6,2,4,0,0.3333,0.0968,0.7,-0.3333,-1.0,-0.3333,,,0.5,-1.0,2,False,False,False,True,
